YouTube Channel,Date Posted,Video Title,Description,Number of Views,Number of Likes,Number of Dislikes,Number of Comments
CBS News,10/23/2020,Trump and Biden face off in final 2020 presidential debate,"President Trump and Democratic presidential nominee Joe Biden faced off in their final presidential debate at Belmont University in Nashville, Tennessee. The debate followed the cancellation of the second presidential debate after Mr. Trump said he would not be participating since the debate would be virtual.

The final presidential debate was moderated by NBC News White House correspondent and co-anchor of “Weekend Today” Kristen Welker. She is the second Black woman to serve as the sole moderator of a presidential debate.

#PresidentialDebate #2020Debates #TrumpBidenDebate #DonaldTrump #JoeBiden #Election2020

CBSN is CBS News’ 24/7 digital streaming news service featuring live, anchored coverage available for free across all platforms. Launched in November 2014, the service is a premier destination for breaking news and original storytelling from the deep bench of CBS News correspondents and reporters. CBSN features the top stories of the day as well as deep dives into key issues facing the nation and the world. CBSN has also expanded to launch local news streaming services in major markets across the country. CBSN is currently available on CBSNews.com and the CBS News app across more than 20 platforms, as well as the CBS All Access subscription service.

Subscribe to the CBS News YouTube channel: http://youtube.com/cbsnews
Watch CBSN live: http://cbsn.ws/1PlLpZ7c
Download the CBS News app: http://cbsn.ws/1Xb1WC8
Follow CBS News on Instagram: https://www.instagram.com/cbsnews/
Like CBS News on Facebook: http://facebook.com/cbsnews
Follow CBS News on Twitter: http://twitter.com/cbsnews
Subscribe to our newsletters: http://cbsn.ws/1RqHw7T

Get new episodes of shows you love across devices the next day, stream CBSN and local news live, and watch full seasons of CBS fan favorites like Star Trek Discovery anytime, anywhere with CBS All Access. Try it free: http://bit.ly/1OQA29B","2,858,467","26,618","3,484","3,502"
CNN,10/23/2020,Replay: The final 2020 presidential debate on CNN,"President Donald Trump and Democratic nominee Joe Biden face off in the final presidential debate of 2020. 

#CNN #News","894,262","7,547","1,112","12,188"
C-SPAN,10/23/2020,Second 2020 Presidential Debate between Donald Trump and Joe Biden,"President Donald Trump and former Vice President Joe Biden participate in the second 2020 presidential debate at Belmont University in Nashville, TN. https://www.c-span.org/debates/

Find more from C-SPAN at https://www.c-span.org
Discover the C-SPAN Video Library at https://www.c-span.org/quickguide/
Download our App https://www.c-span.org/special/?radioapp

C-SPAN: Created by Cable in 1979. Offered as a public service.

Subscribe to our YouTube channel: https://www.youtube.com/user/CSPAN

Follow us:
Facebook: https://www.facebook.com/CSPAN
Twitter: https://twitter.com/cspan
Instagram: https://www.instagram.com/cspan/

Subscribe:
C-SPAN Podcasts: https://www.c-span.org/podcasts/
Newsletters: https://www.c-span.org/connect/","13,697,717","148,193","12,100","122,890"
Fox News,10/23/2020,"Trump, Biden debate in final face-off of 2020 presidential election | Full","President Donald Trump and Democratic presidential nominee Joe Biden face off in a debate moderated by NBC News' Kristen Welker.

Subscribe to Fox News! https://bit.ly/2vBUvAS
Watch more Fox News Video: http://video.foxnews.com
Watch Fox News Channel Live: http://www.foxnewsgo.com/

FOX News Channel (FNC) is a 24-hour all-encompassing news service delivering breaking news as well as political and business news. The number one network in cable, FNC has been the most-watched television news channel for 18 consecutive years. According to a 2020 Brand Keys Consumer Loyalty Engagement Index report, FOX News is the top brand in the country for morning and evening news coverage. A 2019 Suffolk University poll named FOX News as the most trusted source for television news or commentary, while a 2019 Brand Keys Emotion Engagement Analysis survey found that FOX News was the most trusted cable news brand. A 2017 Gallup/Knight Foundation survey also found that among Americans who could name an objective news source, FOX News was the top-cited outlet. Owned by FOX Corporation, FNC is available in nearly 90 million homes and dominates the cable news landscape, routinely notching the top ten programs in the genre.
 
Watch full episodes of your favorite shows
The Five: http://video.foxnews.com/playlist/longform-the-five/
Special Report with Bret Baier: http://video.foxnews.com/playlist/longform-special-report/
The Story with Martha Maccallum: http://video.foxnews.com/playlist/longform-the-story-with-martha-maccallum/
Tucker Carlson Tonight: http://video.foxnews.com/playlist/longform-tucker-carlson-tonight/
Hannity:  http://video.foxnews.com/playlist/longform-hannity/
The Ingraham Angle: http://video.foxnews.com/playlist/longform-the-ingraham-angle/
Fox News @ Night: http://video.foxnews.com/playlist/longform-fox-news-night/
 
Follow Fox News on Facebook: https://www.facebook.com/FoxNews/
Follow Fox News on Twitter: https://twitter.com/FoxNews/
Follow Fox News on Instagram: https://www.instagram.com/foxnews/om/","5,224,368","84,978","3,677","26,918"
NBC News,10/23/2020,"Final 2020 Presidential Debate Between Donald Trump, Joe Biden | NBC News","Watch live coverage of the final presidential debate of the 2020 election between President Donald Trump and Democratic nominee Joe Biden. Pre-debate coverage starts at 7pm ET. 
Para ver el debate en Español, haga clic aquí - https://youtu.be/Uk4BPaaeBA8

Be sure to read our latest breaking news updates, fact checks and our frequently updated live blog at NBC News.com/2020. 

» Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC
» Watch more NBC video: http://bit.ly/MoreNBCNews

NBC News Digital is a collection of innovative and powerful news brands that deliver compelling, diverse and engaging news stories. NBC News Digital features NBCNews.com, MSNBC.com, TODAY.com, Nightly News, Meet the Press, Dateline, and the existing apps and digital extensions of these respective properties.  We deliver the best in breaking news, live video coverage, original journalism and segments from your favorite NBC News Shows.

Connect with NBC News Online!
NBC News App: https://apps.nbcnews.com/mobile
Breaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621
Visit NBCNews.Com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC
Follow NBC News on Instagram: http://nbcnews.to/InstaNBC

#Trump #Biden #PresidentialDebate

Live: Final 2020 Presidential Debate Between Trump, Biden | NBC News","3,257,358","19,025","3,779","6,342"
Wall Street Journal,10/23/2020,Full Debate: President Trump and Joe Biden Square Off for Final Time Ahead of Election | WSJ,"Watch the final presidential debate of the 2020 election between President Trump and Democratic nominee Joe Biden.

Explore what Donald Trump and Joe Biden have said about issues that matter to you with our #WSJTalk2020 tool: https://rb.gy/ookgkr

Get scoops, analysis and insights driving Washington from the WSJ's D.C. bureau. Sign up for our Newsletter: https://rb.gy/l6gss6

Subscribe to WSJ's Special Offer Here: https://rb.gy/flkyrb 

For more of The Wall Street Journal: 
Subscribe to WSJ on YouTube: https://www.youtube.com/wsj

Follow WSJ on Twitter: https://twitter.com/wsj
Like WSJ on Facebook: https://www.facebook.com/wsj
Follow WSJ on Snapchat: https://rb.gy/rsebp6

More from the Wall Street Journal:
Visit WSJ.com: http://www.wsj.com
Visit the WSJ Video Center: https://wsj.com/video
On Facebook: https://www.facebook.com/pg/wsj/videos/
On Twitter: https://twitter.com/WSJ
On Snapchat: https://on.wsj.com/2ratjSM

#WSJ #Election2020","2,540,809","28,850","1,732","8,184"
